0:0:0:0:0:0:0:1 - - [12/Mar/2017:08:48:10 +0700] "GET /web-client/resource/view/template/assets/js/main.js HTTP/1.1" 200 3531
0:0:0:0:0:0:0:1 - - [12/Mar/2017:08:48:10 +0700] "GET /web-client/resource/view/template/assets/images/products/p5.jpg HTTP/1.1" 200 6328
0:0:0:0:0:0:0:1 - - [12/Mar/2017:08:48:10 +0700] "GET /web-client/resource/view/template/assets/images/products/p30.jpg HTTP/1.1" 200 6328
0:0:0:0:0:0:0:1 - - [12/Mar/2017:08:48:10 +0700] "GET /web-client/resource/view/template/assets/images/products//p12.jpg HTTP/1.1" 200 6328
0:0:0:0:0:0:0:1 - - [12/Mar/2017:08:48:10 +0700] "GET /web-client/resource/view/template/assets/images/products/p7.jpg HTTP/1.1" 200 6328
0:0:0:0:0:0:0:1 - - [12/Mar/2017:08:48:10 +0700] "GET /web-client/resource/view/template/assets/images/products//p8.jpg HTTP/1.1" 200 6328
0:0:0:0:0:0:0:1 - - [12/Mar/2017:08:48:10 +0700] "GET /web-client/resource/view/template/assets/images/products//p11.jpg HTTP/1.1" 200 6328
0:0:0:0:0:0:0:1 - - [12/Mar/2017:08:48:10 +0700] "GET /web-client/resource/view/template/assets/images/products//p9.jpg HTTP/1.1" 200 6328
0:0:0:0:0:0:0:1 - - [12/Mar/2017:08:48:10 +0700] "GET /web-client/resource/view/template/assets/images/products//p10.jpg HTTP/1.1" 200 6328
0:0:0:0:0:0:0:1 - - [12/Mar/2017:08:48:10 +0700] "GET /web-client/resource/view/template/assets/images/products//p13.jpg HTTP/1.1" 200 6328
0:0:0:0:0:0:0:1 - - [12/Mar/2017:08:48:10 +0700] "GET /web-client/resource/view/template/assets/images/products//p14.jpg HTTP/1.1" 200 6328
0:0:0:0:0:0:0:1 - - [12/Mar/2017:08:48:10 +0700] "GET /web-client/resource/view/template/assets/images/products//p17.jpg HTTP/1.1" 200 6328
0:0:0:0:0:0:0:1 - - [12/Mar/2017:08:48:10 +0700] "GET /web-client/resource/view/template/assets/images/products//p15.jpg HTTP/1.1" 200 6328
0:0:0:0:0:0:0:1 - - [12/Mar/2017:08:48:10 +0700] "GET /web-client/resource/view/template/assets/images/products//p16.jpg HTTP/1.1" 200 6328
0:0:0:0:0:0:0:1 - - [12/Mar/2017:08:48:10 +0700] "GET /web-client/resource/view/template/assets/images/products//p18.jpg HTTP/1.1" 200 6328
0:0:0:0:0:0:0:1 - - [12/Mar/2017:08:48:10 +0700] "GET /web-client/resource/view/template/assets/images/blank.gif HTTP/1.1" 200 42
0:0:0:0:0:0:0:1 - - [12/Mar/2017:08:48:10 +0700] "GET /web-client/resource/view/template/assets/images/products/p22.jpg HTTP/1.1" 200 6328
0:0:0:0:0:0:0:1 - - [12/Mar/2017:08:48:10 +0700] "GET /web-client/resource/view/template/assets/images/products/p21.jpg HTTP/1.1" 200 6328
0:0:0:0:0:0:0:1 - - [12/Mar/2017:08:48:10 +0700] "GET /web-client/resource/view/template/assets/images/products/p20.jpg HTTP/1.1" 200 6328
0:0:0:0:0:0:0:1 - - [12/Mar/2017:08:48:10 +0700] "GET /web-client/resource/view/template/assets/images/products/p23.jpg HTTP/1.1" 200 6328
0:0:0:0:0:0:0:1 - - [12/Mar/2017:08:48:11 +0700] "GET /web-client/resource/view/template/assets/images/products/p27.jpg HTTP/1.1" 200 6328
0:0:0:0:0:0:0:1 - - [12/Mar/2017:08:48:11 +0700] "GET /web-client/resource/view/template/assets/images/products/p25.jpg HTTP/1.1" 200 6328
0:0:0:0:0:0:0:1 - - [12/Mar/2017:08:48:11 +0700] "GET /web-client/resource/view/template/assets/images/products/p24.jpg HTTP/1.1" 200 6328
0:0:0:0:0:0:0:1 - - [12/Mar/2017:08:48:11 +0700] "GET /web-client/resource/view/template/assets/images/blog-post/post1.jpg HTTP/1.1" 200 1476
0:0:0:0:0:0:0:1 - - [12/Mar/2017:08:48:11 +0700] "GET /web-client/resource/view/template/assets/images/blog-post/post2.jpg HTTP/1.1" 200 1476
0:0:0:0:0:0:0:1 - - [12/Mar/2017:08:48:11 +0700] "GET /web-client/resource/view/template/assets/images/products/p19.jpg HTTP/1.1" 200 6328
0:0:0:0:0:0:0:1 - - [12/Mar/2017:08:48:11 +0700] "GET /web-client/resource/view/template/assets/images/hot-deals/p25.jpg HTTP/1.1" 200 6328
0:0:0:0:0:0:0:1 - - [12/Mar/2017:08:48:11 +0700] "GET /web-client/resource/view/template/assets/images/products/p28.jpg HTTP/1.1" 200 6328
0:0:0:0:0:0:0:1 - - [12/Mar/2017:08:48:11 +0700] "GET /web-client/resource/view/template/assets/images/products/p26.jpg HTTP/1.1" 200 6328
0:0:0:0:0:0:0:1 - - [12/Mar/2017:08:48:11 +0700] "GET /web-client/resource/view/template/assets/images/products//p29.jpg HTTP/1.1" 200 6328
0:0:0:0:0:0:0:1 - - [12/Mar/2017:08:48:11 +0700] "GET /web-client/resource/view/template/assets/images/products//p30.jpg HTTP/1.1" 200 6328
0:0:0:0:0:0:0:1 - - [12/Mar/2017:08:48:11 +0700] "GET /web-client/resource/view/template/assets/images/products//p26.jpg HTTP/1.1" 200 6328
0:0:0:0:0:0:0:1 - - [12/Mar/2017:08:48:11 +0700] "GET /web-client/resource/view/template/assets/images/products//p27.jpg HTTP/1.1" 200 6328
0:0:0:0:0:0:0:1 - - [12/Mar/2017:08:48:11 +0700] "GET /web-client/resource/view/template/assets/images/hot-deals/p5.jpg HTTP/1.1" 200 6328
0:0:0:0:0:0:0:1 - - [12/Mar/2017:08:48:11 +0700] "GET /web-client/resource/view/template/assets/images/hot-deals/p10.jpg HTTP/1.1" 200 6328
0:0:0:0:0:0:0:1 - - [12/Mar/2017:08:48:11 +0700] "GET /web-client/resource/view/template/assets/images/products//p28.jpg HTTP/1.1" 200 6328
0:0:0:0:0:0:0:1 - - [12/Mar/2017:08:48:11 +0700] "GET /web-client/resource/view/template/assets/images/products//p23.jpg HTTP/1.1" 200 6328
0:0:0:0:0:0:0:1 - - [12/Mar/2017:08:48:11 +0700] "GET /web-client/resource/view/template/assets/images/products//p25.jpg HTTP/1.1" 200 6328
0:0:0:0:0:0:0:1 - - [12/Mar/2017:08:48:11 +0700] "GET /web-client/resource/view/template/assets/images/products//p22.jpg HTTP/1.1" 200 6328
0:0:0:0:0:0:0:1 - - [12/Mar/2017:08:48:11 +0700] "GET /web-client/resource/view/template/assets/images/products//p24.jpg HTTP/1.1" 200 6328
0:0:0:0:0:0:0:1 - - [12/Mar/2017:08:48:11 +0700] "GET /web-client/resource/view/template/assets/images/testimonials/member2.png HTTP/1.1" 200 660
0:0:0:0:0:0:0:1 - - [12/Mar/2017:08:48:11 +0700] "GET /web-client/resource/view/template/assets/images/testimonials/member1.png HTTP/1.1" 200 660
0:0:0:0:0:0:0:1 - - [12/Mar/2017:08:48:11 +0700] "GET /web-client/resource/view/template/assets/images/testimonials//member3.png HTTP/1.1" 200 660
0:0:0:0:0:0:0:1 - - [12/Mar/2017:08:48:11 +0700] "GET /web-client/resource/view/template/assets/images/sliders/01.jpg HTTP/1.1" 200 4367
0:0:0:0:0:0:0:1 - - [12/Mar/2017:08:48:11 +0700] "GET /web-client/resource/view/template/assets/images/banners/LHS-banner.jpg HTTP/1.1" 200 1362
0:0:0:0:0:0:0:1 - - [12/Mar/2017:08:48:11 +0700] "GET /web-client/resource/view/template/assets/images/sliders/02.jpg HTTP/1.1" 200 4367
0:0:0:0:0:0:0:1 - - [12/Mar/2017:08:48:11 +0700] "GET /web-client/resource/view/template/assets/images/payments/3.png HTTP/1.1" 200 4355
0:0:0:0:0:0:0:1 - - [12/Mar/2017:08:48:11 +0700] "GET /web-client/resource/view/template/assets/images/payments/2.png HTTP/1.1" 200 4386
0:0:0:0:0:0:0:1 - - [12/Mar/2017:08:48:11 +0700] "GET /web-client/resource/view/template/assets/images/payments/1.png HTTP/1.1" 200 4368
0:0:0:0:0:0:0:1 - - [12/Mar/2017:08:48:11 +0700] "GET /web-client/resource/view/template/assets/images/payments/4.png HTTP/1.1" 200 5263
0:0:0:0:0:0:0:1 - - [12/Mar/2017:08:48:11 +0700] "GET /web-client/resource/view/template/assets/images/payments/5.png HTTP/1.1" 200 4306
0:0:0:0:0:0:0:1 - - [12/Mar/2017:08:48:11 +0700] "GET /web-client/resource/view/template/assets/css/images/star-small.png HTTP/1.1" 200 678
0:0:0:0:0:0:0:1 - - [12/Mar/2017:08:48:11 +0700] "GET /web-client/resource/view/template/assets/css/images/delete.gif HTTP/1.1" 200 43
0:0:0:0:0:0:0:1 - - [12/Mar/2017:08:48:12 +0700] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [12/Mar/2017:08:48:37 +0700] "GET /web-client/resource/view/template/assets/images/products/p7.jpg HTTP/1.1" 200 6328
